sRNA	mRNA	sRNARFTarget_Score	Class
gcvb	pm_rs08560	0.47664	0
gcvb	pm_rs10415	0.4766	0
gcvb	pm_rs07975	0.47655	0
gcvb	pm_rs02460	0.47654	0
gcvb	pm_rs10015	0.47652	0
gcvb	pm_rs02190	0.47646	0
gcvb	pm_rs07210	0.47645	0
gcvb	pm_rs08305	0.47644	0
gcvb	pm_rs08515	0.4764	0
gcvb	pm1123	0.4764	0
gcvb	pm_rs09890	0.47639	0
gcvb	pm_rs10255	0.47638	0
gcvb	pm_rs02840	0.47635	0
gcvb	pm_rs00185	0.47634	0
gcvb	pm_rs09625	0.47631	0
gcvb	pm_rs02025	0.47629	0
gcvb	pm0309	0.47625	0
gcvb	pm_rs02560	0.4762	0
gcvb	pm_rs01415	0.47618	0
gcvb	pm_rs00205	0.47611	0
gcvb	pm_rs09885	0.4761	0
gcvb	pm_rs07550	0.47609	0
gcvb	pm_rs10310	0.47609	0
gcvb	pm_rs06585	0.476	0
gcvb	pm_rs07990	0.476	0
gcvb	pm_rs00575	0.47599	0
gcvb	pm_rs06025	0.47595	0
gcvb	pm_rs04205	0.47594	0
gcvb	pm_rs06415	0.47593	0
gcvb	rumb	0.4759	0
gcvb	rplq	0.47588	0
gcvb	pm_rs07280	0.47587	0
gcvb	pm_rs06640	0.47584	0
gcvb	pm_rs06230	0.47583	0
gcvb	pm_rs08850	0.4758	0
gcvb	pm0574	0.47574	0
gcvb	acee	0.47571	0
gcvb	pm_rs07810	0.47567	0
gcvb	pm_rs00435	0.47565	0
gcvb	pm_rs05365	0.4756	0
gcvb	pm_rs09195	0.47555	0
gcvb	pm_rs01360	0.47554	0
gcvb	pm_rs08800	0.47553	0
gcvb	pm_rs06375	0.47552	0
gcvb	pm_rs08495	0.47543	0
gcvb	pm_rs05360	0.47542	0
gcvb	pm_rs04015	0.47539	0
gcvb	pm_rs04290	0.47535	0
gcvb	pm_rs01355	0.47533	0
gcvb	pm_rs04940	0.47531	0
gcvb	pm_rs06470	0.47531	0
gcvb	pm_rs07800	0.4753	0
gcvb	trud	0.4753	0
gcvb	pm_rs03990	0.47525	0
gcvb	glpk	0.47524	0
gcvb	pm_rs04250	0.4752	0
gcvb	pm_rs06165	0.47515	0
gcvb	pm_rs07020	0.47511	0
gcvb	quef	0.47509	0
gcvb	pm_rs01645	0.47503	0
gcvb	pm_rs09485	0.47502	0
gcvb	pm_rs06545	0.475	0
gcvb	pm_rs05310	0.47498	0
gcvb	pm_rs08885	0.47496	0
gcvb	pm_rs05900	0.47495	0
gcvb	pm_rs02910	0.47493	0
gcvb	pm_rs00935	0.47492	0
gcvb	pm_rs04845	0.47484	0
gcvb	pm_rs06150	0.47484	0
gcvb	pm_rs03595	0.4748	0
gcvb	pm_rs04495	0.47475	0
gcvb	pm_rs08115	0.4747	0
gcvb	pm_rs07365	0.47469	0
gcvb	secy	0.47467	0
gcvb	pm_rs07585	0.47466	0
gcvb	pm_rs00130	0.47457	0
gcvb	pm_rs10360	0.47457	0
gcvb	pm_rs09645	0.47454	0
gcvb	pm_rs06160	0.47453	0
gcvb	pm_rs00800	0.47444	0
gcvb	pm_rs02775	0.47444	0
gcvb	pm_rs04385	0.47443	0
gcvb	pm_rs05440	0.4744	0
gcvb	pm_rs05475	0.47426	1
gcvb	pm_rs02235	0.47424	0
gcvb	pm_rs00055	0.47422	0
gcvb	pm_rs06590	0.47417	0
gcvb	pm_rs03690	0.47416	0
gcvb	pm_rs02640	0.47415	0
gcvb	pm_rs03965	0.47414	0
gcvb	pm_rs01805	0.47411	0
gcvb	pm_rs08985	0.4741	0
gcvb	pm_rs04125	0.47402	0
gcvb	pm_rs07170	0.47398	0
gcvb	pm_rs06605	0.47394	0
gcvb	ychf	0.47392	0
gcvb	ruvb	0.47388	0
gcvb	pm_rs04715	0.47387	0
gcvb	pm_rs00010	0.4738	0
gcvb	pm_rs03000	0.47377	0
gcvb	pm_rs08275	0.47374	0
gcvb	nagb	0.47373	0
gcvb	pm_rs09345	0.47369	0
gcvb	pm_rs01710	0.47365	0
gcvb	pm_rs02065	0.47362	0
gcvb	pm_rs02345	0.47358	0
gcvb	pm_rs06155	0.47356	0
gcvb	pm_rs01050	0.47352	0
gcvb	pm_rs05050	0.47352	0
gcvb	thrs	0.47349	0
gcvb	pm_rs10340	0.47348	0
gcvb	pm_rs05640	0.47347	0
gcvb	pm_rs01740	0.47346	0
gcvb	pm_rs08915	0.47334	0
gcvb	pm_rs05975	0.47329	0
gcvb	heme	0.47328	0
gcvb	pm_rs07075	0.47325	0
gcvb	pm_rs03495	0.47324	0
gcvb	pm_rs01200	0.47321	0
gcvb	pm_rs04760	0.4732	0
gcvb	pm_rs10380	0.4732	0
gcvb	pm_rs07725	0.47319	0
gcvb	pm_rs07830	0.47319	0
gcvb	pm_rs09840	0.47319	0
gcvb	pm_rs10155	0.47314	0
gcvb	pm_rs02085	0.4731	0
gcvb	pm_rs09155	0.4731	0
gcvb	pm_rs02990	0.47304	0
gcvb	pm_rs01690	0.47301	0
gcvb	pm_rs00485	0.47296	0
gcvb	pm_rs01770	0.47292	0
gcvb	pm_rs00880	0.47291	0
gcvb	pm_rs00595	0.47288	0
gcvb	pm_rs00905	0.47285	0
gcvb	pm_rs00475	0.4728	0
gcvb	pm_rs02895	0.47273	0
gcvb	pm_rs05570	0.47271	0
gcvb	pm_rs10160	0.47269	0
gcvb	pm_rs05065	0.47267	0
gcvb	pm_rs03865	0.47266	0
gcvb	modb	0.47265	0
gcvb	pm_rs09415	0.47265	0
gcvb	pm_rs02290	0.47259	0
gcvb	pm_rs10275	0.47257	0
gcvb	pm_rs03315	0.47254	0
gcvb	pm_rs09830	0.47243	0
gcvb	pm_rs10230	0.47242	0
gcvb	pm_rs08725	0.47237	0
gcvb	pm_rs07370	0.47229	0
gcvb	pm_rs05040	0.47224	0
gcvb	pm_rs02705	0.47221	0
gcvb	pm_rs02645	0.47217	0
gcvb	pm_rs03770	0.47209	0
gcvb	pm_rs03945	0.47209	0
gcvb	pm_rs01965	0.47205	0
gcvb	rpsr	0.47205	0
gcvb	pm_rs06915	0.47203	0
gcvb	pm_rs07885	0.47203	0
gcvb	pm_rs09655	0.47203	0
gcvb	pm_rs04925	0.47202	0
gcvb	pm_rs01305	0.47197	0
gcvb	pm_rs01100	0.47196	0
gcvb	pm_rs07315	0.47195	0
gcvb	pm_rs02230	0.47189	0
gcvb	pm_rs01920	0.47186	0
gcvb	pm_rs07670	0.47186	0
gcvb	prma	0.47185	0
gcvb	pm_rs01870	0.47179	0
gcvb	pm_rs03075	0.47174	0
gcvb	pm_rs05465	0.47174	0
gcvb	dppf	0.47168	0
gcvb	pm_rs03350	0.47168	0
gcvb	pm_rs08170	0.47165	0
gcvb	pm_rs00720	0.47161	0
gcvb	pm_rs02920	0.47159	0
gcvb	pm_rs09315	0.47159	0
gcvb	pm_rs09775	0.47157	0
gcvb	pm_rs09510	0.47155	0
gcvb	pm_rs04780	0.47152	0
gcvb	pm_rs03735	0.47149	0
gcvb	pm_rs03015	0.47148	0
gcvb	pm_rs08370	0.47146	0
gcvb	pm_rs10315	0.47143	0
gcvb	pm_rs01475	0.47142	0
gcvb	pm_rs04775	0.47141	0
gcvb	pm_rs05890	0.47141	0
gcvb	naga	0.47135	0
gcvb	pm_rs00325	0.47135	0
gcvb	pm_rs01985	0.47135	0
gcvb	pm_rs07620	0.47132	0
gcvb	pm_rs06565	0.47131	0
gcvb	pm_rs04975	0.4713	0
gcvb	pm_rs03365	0.47129	0
gcvb	pm_rs02605	0.47128	0
gcvb	pm_rs00505	0.47127	0
gcvb	pm_rs07410	0.47125	0
gcvb	clpx	0.47124	0
gcvb	pm_rs03725	0.47124	0
gcvb	pm_rs07030	0.4712	0
gcvb	pm_rs00920	0.47116	0
gcvb	pm_rs05125	0.47115	0
gcvb	pm_rs08945	0.47113	0
gcvb	succ	0.47113	0
gcvb	pm_rs04700	0.47111	0
gcvb	pm_rs00815	0.4711	0
gcvb	pm_rs09180	0.4711	0
gcvb	pm_rs08010	0.47106	0
gcvb	pm_rs05600	0.47104	0
gcvb	pm_rs07420	0.47103	0
gcvb	pm_rs02970	0.47102	0
gcvb	pm_rs03765	0.47101	0
gcvb	pm_rs09675	0.47098	0
gcvb	eno	0.47097	0
gcvb	pm_rs05530	0.47095	0
gcvb	pm_rs08505	0.47093	0
gcvb	pm_rs05565	0.47092	0
gcvb	pm_rs10420	0.4709	0
gcvb	pm_rs05655	0.47089	0
gcvb	pm_rs07340	0.47083	0
gcvb	pm_rs08840	0.47079	0
gcvb	hflb	0.47071	0
gcvb	rho	0.4707	0
gcvb	pm_rs06485	0.47069	0
gcvb	pm_rs06990	0.47067	0
gcvb	pm_rs02995	0.47066	0
gcvb	pm_rs02440	0.47065	0
gcvb	pm_rs07400	0.47065	0
gcvb	pm_rs09900	0.47065	0
gcvb	pm0415	0.47063	0
gcvb	pm_rs03475	0.47045	0
gcvb	pm_rs03040	0.47044	0
gcvb	pm_rs10190	0.47043	0
gcvb	pm_rs01825	0.47042	0
gcvb	pm_rs02545	0.47042	0
gcvb	pm_rs00795	0.4704	0
gcvb	pm_rs05250	0.4704	0
gcvb	pm_rs05390	0.47037	0
gcvb	pm_rs06690	0.47037	0
gcvb	pm_rs09670	0.47037	0
gcvb	pm_rs05105	0.47035	0
gcvb	pm_rs08280	0.47034	0
gcvb	pm_rs03275	0.47033	0
gcvb	iles	0.4703	0
gcvb	pm_rs07450	0.47029	0
gcvb	pm_rs09980	0.47024	0
gcvb	pm_rs04230	0.4702	0
gcvb	pm_rs00020	0.4701	0
gcvb	pm_rs00440	0.47007	0
gcvb	pm_rs03150	0.47007	0
gcvb	pm_rs07560	0.47001	0
gcvb	pm_rs04345	0.46995	0
gcvb	pm_rs03730	0.46994	0
gcvb	pm_rs10330	0.4699	0
gcvb	pm_rs08320	0.46989	0
gcvb	pm_rs01510	0.46988	0
gcvb	pm_rs05905	0.46987	0
gcvb	pm_rs08250	0.46986	0
gcvb	pm_rs01855	0.46983	0
gcvb	pm_rs03060	0.46983	0
gcvb	rpmf	0.4698	0
gcvb	pm_rs01345	0.46979	0
gcvb	pm_rs07850	0.46976	0
gcvb	glpc	0.46973	0
gcvb	pm_rs00710	0.46971	0
gcvb	pm_rs03685	0.46968	0
gcvb	ftsa	0.46966	0
gcvb	cyss	0.46965	0
gcvb	pm_rs01375	0.46963	0
gcvb	pm_rs03485	0.46963	0
gcvb	pm_rs03550	0.46961	0
gcvb	pm_rs01865	0.46957	0
gcvb	pm_rs04770	0.46957	0
gcvb	hscb	0.46956	0
gcvb	pm_rs02390	0.46953	0
gcvb	pm_rs09570	0.46949	0
gcvb	pm_rs09455	0.46945	0
gcvb	pm_rs01650	0.46943	0
gcvb	pm_rs08995	0.46943	0
gcvb	pm_rs01685	0.4694	0
gcvb	pm_rs00075	0.46939	0
gcvb	pm_rs06195	0.46938	0
gcvb	pm_rs09140	0.46931	0
gcvb	pm1323	0.46924	0
gcvb	pm_rs03570	0.46922	0
gcvb	pm_rs00780	0.4692	0
gcvb	pm_rs06550	0.46915	0
gcvb	pm_rs01595	0.4691	0
gcvb	pm_rs01620	0.46908	0
gcvb	pm_rs05130	0.46907	0
gcvb	pm_rs08790	0.46904	0
gcvb	hpac	0.469	0
gcvb	pm_rs01300	0.46892	0
gcvb	pm_rs01875	0.46889	0
gcvb	pm_rs08685	0.46884	0
gcvb	pm_rs00530	0.46878	0
gcvb	pm_rs04185	0.46876	1
gcvb	pm_rs01910	0.46873	0
gcvb	pm_rs02855	0.46873	0
gcvb	pm_rs04855	0.46873	0
gcvb	pm_rs04010	0.46871	0
gcvb	pm_rs04265	0.46863	0
gcvb	pm_rs07105	0.4686	0
gcvb	pm_rs06115	0.46859	0
gcvb	pm_rs09480	0.46857	0
gcvb	pm_rs09110	0.46855	0
gcvb	pm1076	0.46848	0
gcvb	pm_rs01605	0.46842	0
gcvb	pm_rs01465	0.4684	0
gcvb	pm_rs05080	0.46837	0
gcvb	pm_rs07080	0.46832	0
gcvb	pm_rs07130	0.4683	0
gcvb	pm_rs08340	0.46829	0
gcvb	pm_rs09160	0.46828	0
gcvb	pm_rs09975	0.46816	0
gcvb	pm_rs09390	0.46813	0
gcvb	isca	0.46812	0
gcvb	pm_rs03445	0.46799	0
gcvb	mrcb	0.46798	0
gcvb	pm_rs08825	0.4678	0
gcvb	pm_rs04680	0.46775	0
gcvb	pm_rs09825	0.46772	0
gcvb	srlr	0.46769	0
gcvb	pm_rs02785	0.46764	0
gcvb	pm_rs04970	0.4676	0
gcvb	pm_rs08300	0.4676	0
gcvb	pm_rs05795	0.46757	0
gcvb	dppd	0.46751	0
gcvb	pm_rs00890	0.46751	0
gcvb	pm_rs09880	0.46749	0
gcvb	pm_rs00105	0.46747	0
gcvb	pm_rs02285	0.46747	0
gcvb	hslo	0.46744	0
gcvb	pm_rs05880	0.46743	0
gcvb	pm_rs05005	0.46741	0
gcvb	pm_rs04370	0.4674	0
gcvb	pm_rs02105	0.46737	0
gcvb	pm_rs03660	0.46737	0
gcvb	pm_rs07835	0.46735	0
gcvb	pm_rs06800	0.46732	0
gcvb	pm_rs07995	0.46727	0
gcvb	pm_rs06635	0.46723	0
gcvb	pm_rs00840	0.46722	0
gcvb	pm_rs01145	0.46717	0
gcvb	pm_rs00680	0.46716	0
gcvb	pm_rs09735	0.46716	0
gcvb	pm_rs02745	0.46711	0
gcvb	nusg	0.4671	0
gcvb	pm_rs04285	0.46709	0
gcvb	pm_rs02690	0.46704	0
gcvb	pm_rs06205	0.46703	0
gcvb	pm_rs10005	0.46703	0
gcvb	pm_rs07260	0.46694	0
gcvb	pm_rs02665	0.4669	0
gcvb	pm_rs00470	0.46688	0
gcvb	pm_rs07415	0.46688	0
gcvb	thiq	0.46684	0
gcvb	pm_rs03335	0.46677	0
gcvb	pm_rs08670	0.46675	1
gcvb	pm_rs00150	0.46673	0
gcvb	pm_rs04895	0.46669	0
gcvb	pm0720	0.46669	0
gcvb	rpsn	0.46669	0
gcvb	pm_rs08545	0.46666	0
gcvb	pm_rs09835	0.46665	0
gcvb	pm_rs08525	0.46663	0
gcvb	pm_rs02205	0.46657	0
gcvb	pm_rs00260	0.46637	0
gcvb	pm_rs06035	0.46637	0
gcvb	pm_rs04060	0.46633	0
gcvb	pm_rs07605	0.4663	0
gcvb	pm_rs06910	0.46629	0
gcvb	pm_rs07380	0.46626	0
gcvb	coad	0.46624	0
gcvb	pm_rs00250	0.4662	0
gcvb	pm_rs00825	0.46614	0
gcvb	ribb	0.46613	0
gcvb	pm_rs06395	0.46611	0
gcvb	pm_rs07750	0.46606	0
gcvb	pm_rs04550	0.46604	0
gcvb	pm_rs10150	0.46601	0
gcvb	pm_rs03740	0.46598	0
gcvb	pm_rs08420	0.46597	0
gcvb	pm_rs06390	0.46596	0
gcvb	pm_rs03500	0.46595	0
gcvb	pm_rs07005	0.4659	0
gcvb	pm_rs00860	0.46586	0
gcvb	pm_rs05155	0.46584	0
gcvb	pm_rs04955	0.46578	0
gcvb	pm_rs01455	0.46576	0
gcvb	codb	0.46566	0
gcvb	pm_rs05210	0.46563	0
gcvb	pm_rs07445	0.46563	0
gcvb	pm_rs00835	0.46557	0
gcvb	pm_rs01065	0.46557	0
gcvb	pm_rs00230	0.46551	0
gcvb	pm_rs03420	0.46548	0
gcvb	metn	0.46547	0
gcvb	pm_rs05450	0.46547	0
gcvb	moac	0.46546	0
gcvb	pm_rs07390	0.46542	0
gcvb	groes	0.46539	0
gcvb	pm_rs01485	0.46537	0
gcvb	pm_rs09445	0.46532	0
gcvb	pm_rs07650	0.46531	0
gcvb	pm1386	0.46531	0
gcvb	oppd	0.46529	0
gcvb	pm_rs02365	0.46527	0
gcvb	pm_rs00915	0.46517	0
gcvb	pm_rs03375	0.46517	0
gcvb	pm_rs07245	0.46511	0
gcvb	pm_rs01290	0.4651	0
gcvb	pm_rs10430	0.4651	0
gcvb	pm_rs09580	0.46506	0
gcvb	pm_rs00855	0.46505	0
gcvb	tnaa	0.46502	0
gcvb	pm_rs06805	0.46496	0
gcvb	pm_rs08805	0.46496	0
gcvb	pm_rs02335	0.46486	0
gcvb	pm_rs07625	0.46484	0
gcvb	pm_rs02195	0.4648	0
gcvb	pm_rs06815	0.46473	0
gcvb	pm_rs08620	0.4647	0
gcvb	hisd	0.46463	0
gcvb	pm_rs04905	0.46457	0
gcvb	pm1655	0.46455	0
gcvb	pm_rs09740	0.46454	0
gcvb	pm0901	0.46454	0
gcvb	fbpc	0.46448	0
gcvb	pm_rs10145	0.46447	0
gcvb	pm_rs08180	0.46438	0
gcvb	pm_rs00300	0.46434	0
gcvb	pm_rs02320	0.46434	0
gcvb	pm_rs04470	0.46433	0
gcvb	pm_rs07300	0.46432	0
gcvb	pm_rs06260	0.4643	1
gcvb	pm_rs01615	0.46423	0
gcvb	pm_rs02710	0.46423	0
gcvb	gpma	0.46421	0
gcvb	pm_rs05750	0.4642	0
gcvb	pm_rs02005	0.46419	0
gcvb	pm_rs06455	0.46412	0
gcvb	pm_rs08270	0.46409	0
gcvb	pm_rs01565	0.46407	0
gcvb	pm_rs00465	0.46405	0
gcvb	pm_rs06085	0.46403	0
gcvb	pm_rs04580	0.46401	0
gcvb	pm_rs04210	0.46391	0
gcvb	pm_rs05350	0.46391	0
gcvb	pm_rs07720	0.46389	0
gcvb	idnk	0.46388	0
gcvb	pm_rs06405	0.46384	0
gcvb	pm_rs01025	0.46383	0
gcvb	pm_rs03580	0.46382	0
gcvb	pm_rs02915	0.46379	0
gcvb	pm_rs00245	0.46377	0
gcvb	pm_rs04195	0.4637	1
gcvb	pm_rs08230	0.46367	0
gcvb	pm_rs10405	0.46367	0
gcvb	hema	0.46365	0
gcvb	pm_rs07060	0.46364	0
gcvb	pm_rs06180	0.4636	0
gcvb	pm_rs09405	0.4636	0
gcvb	mglc	0.46353	0
gcvb	pm_rs00275	0.46353	0
gcvb	pm_rs10435	0.46353	0
gcvb	pm_rs04045	0.46351	0
gcvb	pm_rs06355	0.46345	0
gcvb	pm_rs08215	0.46343	0
gcvb	pm_rs09385	0.46343	0
gcvb	pm_rs05745	0.46341	0
gcvb	lola	0.46339	0
gcvb	pm_rs04105	0.46336	0
gcvb	pm_rs02095	0.46331	0
gcvb	pm_rs01490	0.46328	0
gcvb	pm_rs01215	0.46325	0
gcvb	pm_rs07490	0.46319	0
gcvb	pm_rs09555	0.46319	0
gcvb	pm_rs06525	0.46318	0
gcvb	pm_rs03980	0.46315	0
gcvb	naph	0.46314	0
gcvb	pm_rs02695	0.46313	0
gcvb	pm_rs07050	0.46313	0
gcvb	pm_rs04910	0.4631	0
gcvb	rpob	0.4631	0
gcvb	pm_rs02965	0.46304	0
gcvb	pm_rs03465	0.46303	0
gcvb	pm_rs01850	0.46298	0
gcvb	pm_rs02885	0.46298	0
gcvb	pm_rs04635	0.4629	0
gcvb	fole	0.46288	0
gcvb	pm_rs00420	0.46286	0
gcvb	pm_rs04340	0.46286	0
gcvb	pm_rs08350	0.46281	0
gcvb	pm_rs04120	0.46279	0
gcvb	pm_rs03090	0.46275	0
gcvb	pm_rs08020	0.46275	0
gcvb	phet	0.46273	0
gcvb	pm_rs05270	0.46269	0
gcvb	pm_rs04820	0.46266	0
gcvb	pm_rs07580	0.46263	0
gcvb	rpll	0.46263	0
gcvb	pm_rs08640	0.46259	0
gcvb	pm_rs00265	0.46248	0
gcvb	pm_rs07465	0.46248	0
gcvb	pm_rs08030	0.46248	0
gcvb	pm_rs06790	0.46245	0
gcvb	pm_rs02950	0.46239	0
gcvb	pm_rs03850	0.46237	0
gcvb	pm_rs05490	0.46235	0
gcvb	pm_rs02325	0.4623	0
gcvb	pyre	0.4623	0
gcvb	pssa	0.46229	0
gcvb	pm_rs01280	0.46228	0
gcvb	pm_rs04410	0.46224	0
gcvb	pm_rs05115	0.46219	0
gcvb	pm_rs05320	0.46217	0
gcvb	pm_rs06275	0.46215	0
gcvb	pm_rs06500	0.46211	0
gcvb	rnfd	0.4621	0
gcvb	pm_rs09765	0.46197	0
gcvb	nhab	0.46196	0
gcvb	pm_rs01075	0.46195	0
gcvb	atpc	0.46194	0
gcvb	pm_rs00675	0.46192	0
gcvb	pm_rs03120	0.46191	0
gcvb	pm_rs02510	0.46185	0
gcvb	pm_rs08245	0.46185	0
gcvb	pm_rs06940	0.46183	0
gcvb	pm_rs02480	0.46178	0
gcvb	pm_rs01995	0.46175	0
gcvb	pm_rs01400	0.4617	0
gcvb	pm_rs06675	0.4617	0
gcvb	pm_rs01315	0.46165	0
gcvb	pm_rs07090	0.46165	0
gcvb	murp	0.4615	0
gcvb	pm_rs10050	0.4615	0
gcvb	pm_rs00955	0.46149	0
gcvb	pm_rs03810	0.46149	0
gcvb	pm_rs00215	0.46148	1
gcvb	pm_rs03110	0.46144	0
gcvb	pm_rs10080	0.46144	0
gcvb	pm_rs08740	0.4614	0
gcvb	pm_rs06775	0.4613	0
gcvb	pm_rs06830	0.46129	0
gcvb	pm_rs00885	0.46127	0
gcvb	pm_rs09400	0.46126	0
gcvb	pm_rs04035	0.46119	0
gcvb	pm_rs02765	0.46115	0
gcvb	pm_rs06325	0.46106	0
gcvb	pm_rs07015	0.46105	0
gcvb	pm_rs07055	0.46105	0
gcvb	pm_rs08650	0.461	0
gcvb	pm_rs02030	0.46098	0
gcvb	pm_rs03105	0.46096	0
gcvb	pm_rs08000	0.46094	0
gcvb	pm_rs06140	0.46093	0
gcvb	pm_rs08535	0.46092	0
gcvb	pm_rs08695	0.46092	0
gcvb	pm_rs07270	0.46085	0
gcvb	pm_rs05460	0.46075	0
gcvb	pm_rs02015	0.4607	0
gcvb	pm_rs04685	0.46063	0
gcvb	pm_rs02125	0.46062	0
gcvb	pm_rs04395	0.4606	0
gcvb	pm_rs06680	0.46059	0
gcvb	pm_rs03715	0.46058	0
gcvb	pm_rs01000	0.46057	0
gcvb	pm_rs01700	0.46047	0
gcvb	pm_rs02300	0.46045	0
gcvb	pm_rs08175	0.46045	0
gcvb	pm_rs08260	0.46043	0
gcvb	pm_rs00220	0.46041	0
gcvb	pm_rs08905	0.46039	0
gcvb	pm_rs00760	0.46034	0
gcvb	pm_rs01115	0.46034	0
gcvb	pm_rs01570	0.46033	0
gcvb	pm_rs07215	0.46033	0
gcvb	pm_rs08690	0.46031	0
gcvb	pm_rs10020	0.46025	0
gcvb	pm_rs03345	0.46024	0
gcvb	pm_rs00050	0.46022	0
gcvb	lpxc	0.46021	0
gcvb	pm_rs06970	0.4602	0
gcvb	pm_rs04030	0.46017	0
gcvb	deod	0.46011	0
gcvb	pm_rs05215	0.46009	0
gcvb	pm_rs00695	0.46007	0
gcvb	pm_rs09790	0.46006	0
gcvb	pm_rs07660	0.46002	0
gcvb	pepn	0.46001	0
gcvb	pm_rs05240	0.45999	0
gcvb	pm_rs00940	0.45992	0
gcvb	pm_rs08925	0.45987	0
gcvb	pm_rs09495	0.45979	0
gcvb	pm_rs05965	0.45977	0
gcvb	pm_rs06520	0.45976	0
gcvb	pm_rs08015	0.4597	0
gcvb	pm_rs03330	0.45967	0
gcvb	pm_rs09770	0.45961	0
gcvb	pm_rs04380	0.4596	0
gcvb	pm_rs04570	0.45958	0
gcvb	pm_rs00605	0.45957	0
gcvb	pnta	0.45957	0
gcvb	pm_rs07165	0.45956	0
gcvb	pm_rs02940	0.45952	0
gcvb	sbcb	0.45949	0
gcvb	pm_rs01750	0.45939	0
gcvb	dnae	0.45932	0
gcvb	pm_rs01625	0.45932	0
gcvb	srla	0.45928	0
gcvb	pm_rs00520	0.45924	0
gcvb	pm_rs05000	0.45919	0
gcvb	pm_rs03905	0.45917	0
gcvb	pm_rs06755	0.45917	0
gcvb	pm_rs01845	0.45911	0
gcvb	pm_rs04225	0.45908	0
gcvb	pm_rs08775	0.45902	0
gcvb	pm_rs08240	0.459	0
gcvb	apah	0.45895	0
gcvb	pm_rs04150	0.45881	0
gcvb	pm_rs03585	0.45876	0
gcvb	pm_rs10375	0.45876	0
gcvb	cysb	0.4587	0
gcvb	pm_rs08520	0.45869	0
gcvb	fecb	0.45859	0
gcvb	pm_rs01630	0.45859	0
gcvb	pm_rs04860	0.45859	0
gcvb	pm_rs08605	0.45858	0
gcvb	pm_rs01610	0.45857	0
gcvb	pm_rs01975	0.45855	0
gcvb	pm_rs09630	0.45853	0
gcvb	tpx	0.45853	0
gcvb	pm_rs00410	0.4585	0
gcvb	pm_rs05645	0.4584	0
gcvb	pm_rs10270	0.45839	0
gcvb	pm_rs01930	0.45838	0
gcvb	uhpt	0.45836	0
gcvb	pm_rs09430	0.45832	0
gcvb	pm_rs01320	0.4583	0
gcvb	pm_rs07405	0.45828	0
gcvb	ribh	0.4582	0
gcvb	pm_rs08720	0.45815	0
gcvb	carb	0.45808	0
gcvb	pm_rs00630	0.45803	0
gcvb	pm_rs02565	0.45801	0
gcvb	pm_rs07350	0.45799	0
gcvb	pm_rs08455	0.45796	0
gcvb	pm_rs07250	0.45794	0
gcvb	pm_rs02835	0.45793	0
gcvb	trua	0.45793	0
gcvb	guaa	0.45789	0
gcvb	pm_rs05435	0.45782	0
gcvb	pm_rs09865	0.45782	0
gcvb	pm_rs01185	0.45774	0
gcvb	pm_rs04590	0.45773	0
gcvb	moga	0.4577	0
gcvb	pm_rs01840	0.45766	0
gcvb	pm_rs06310	0.45765	0
gcvb	pm_rs06980	0.45764	0
gcvb	pm_rs04245	0.45759	0
gcvb	pm_rs00040	0.45758	0
gcvb	pm_rs10095	0.45758	0
gcvb	pm_rs05160	0.45749	0
gcvb	pm_rs02160	0.45742	0
gcvb	pm_rs09325	0.4574	0
gcvb	pm_rs07145	0.45739	0
gcvb	secd	0.45731	0
gcvb	slma	0.4573	0
gcvb	pm_rs00975	0.45726	0
gcvb	pm_rs00315	0.4572	0
gcvb	pm_rs09205	0.45719	0
gcvb	pm_rs06660	0.45716	0
gcvb	pm_rs10170	0.45714	0
gcvb	pm_rs02145	0.45709	0
gcvb	pm_rs04960	0.45707	0
gcvb	pm_rs04310	0.45706	1
gcvb	pm_rs08865	0.45704	0
gcvb	pm_rs04100	0.45702	0
gcvb	znub	0.45698	0
gcvb	pm_rs09640	0.45696	0
gcvb	pm_rs01940	0.45685	0
gcvb	pm_rs05575	0.45683	0
gcvb	pm_rs05930	0.45673	0
gcvb	pm_rs06665	0.45673	0
gcvb	pm_rs02240	0.45666	0
gcvb	pm_rs00210	0.45665	0
gcvb	pm_rs01580	0.45664	0
gcvb	pm_rs06515	0.45659	0
gcvb	pm_rs03645	0.45653	0
gcvb	pm_rs06170	0.45653	0
gcvb	pm_rs10180	0.45646	0
gcvb	pm_rs04615	0.45643	0
gcvb	pm_rs07855	0.45643	0
gcvb	pm_rs03795	0.45641	0
gcvb	pm_rs02810	0.4564	0
gcvb	pm_rs09330	0.4564	0
gcvb	pm_rs06410	0.4563	0
gcvb	pm_rs09910	0.45625	0
gcvb	moae	0.45622	0
gcvb	pm_rs03920	0.4562	0
gcvb	pm_rs01885	0.45613	0
gcvb	pm_rs02525	0.4561	0
gcvb	pm_rs00895	0.45607	0
gcvb	pm_rs00060	0.45606	0
gcvb	rpli	0.45605	0
gcvb	pm_rs02805	0.45593	0
gcvb	pm_rs08045	0.45589	0
gcvb	pm_rs09960	0.45587	0
gcvb	pm_rs03705	0.45586	0
gcvb	pm_rs07425	0.45585	0
gcvb	pm_rs08150	0.45568	0
gcvb	pm_rs05120	0.45566	0
gcvb	pm_rs00725	0.45558	0
gcvb	pm_rs10285	0.45557	0
gcvb	pm_rs00085	0.45555	0
gcvb	pm_rs03605	0.45548	0
gcvb	pm_rs03790	0.45547	0
gcvb	pm_rs01365	0.45546	0
